Temperature,Humidity,Pressure,UV index,Conclusion,Wind direction,Wind speed
63,70,29.78,0,Mostly Cloudy,160,4
59,81,29.77,0,Mostly Cloudy,20,2
57,86,29.82,1,Mostly Cloudy,360,9
69,50,29.88,3,Mostly Cloudy,90,2
73,41,29.81,4,Mostly Cloudy,110,4
72,43,29.78,1,Mostly Cloudy,160,4
64,54,29.81,0,Mostly Cloudy,140,4
59,60,29.85,0,Mostly Cloudy,70,2
58,65,29.83,0,Partly Cloudy,50,4
58,67,29.78,0,Partly Cloudy,70,4
58,73,29.82,1,Mostly Cloudy,50,4
69,57,29.86,3,Mostly Cloudy,110,2
72,55,29.78,3,Mostly Cloudy,140,2
69,51,29.74,1,Mostly Cloudy,160,4
64,54,29.77,0,Mostly Cloudy,180,4
60,67,29.79,0,Mostly Cloudy,50,4
58,79,29.76,0,Mostly Cloudy,70,4
58,83,29.75,0,Partly Cloudy,70,7
58,86,29.77,1,Mostly Cloudy,50,7
65,80,29.8,3,Mostly Cloudy,90,2
68,76,29.7,3,Cloudy,110,2
67,80,29.66,1,Mostly Cloudy,160,2
63,93,29.65,0,Mostly Cloudy,160,4
62,87,29.65,0,Mostly Cloudy,90,2
61,93,29.61,0,Mostly Cloudy,90,4
60,96,29.56,0,Mostly Cloudy,50,2
61,93,29.58,1,Cloudy,90,2
68,79,29.62,3,Mostly Cloudy,160,2
71,73,29.52,3,Cloudy,110,4
68,80,29.47,1,Mostly Cloudy,160,4
67,88,29.49,0,Mostly Cloudy,140,7
66,91,29.51,0,Mostly Cloudy,70,4
65,94,29.48,0,Mostly Cloudy,90,4
66,94,29.45,0,Cloudy,110,4
67,94,29.48,1,Rain,110,2
70,91,29.51,2,Cloudy,160,4
74,83,29.44,3,Mostly Cloudy,180,4
74,84,29.42,1,Mostly Cloudy,180,4
70,94,29.47,0,Cloudy,90,2
69,95,29.5,0,Mostly Cloudy,90,4
68,96,29.49,0,Cloudy,90,4
69,96,29.49,0,Cloudy,110,2
69,98,29.54,1,Cloudy,160,2
71,89,29.57,3,Mostly Cloudy,110,2
74,81,29.5,3,Mostly Cloudy,160,2
71,89,29.49,1,Cloudy,140,2
69,94,29.54,0,Mostly Cloudy,90,2
68,96,29.57,0,Mostly Cloudy,90,4
69,92,29.57,0,Mostly Cloudy,70,4
68,96,29.56,0,Cloudy,None,None
67,97,29.64,1,Mostly Cloudy,70,2
69,87,29.7,2,Cloudy,70,2
74,69,29.64,3,Cloudy,50,7
70,78,29.68,1,Cloudy,None,None
65,75,29.74,0,Cloudy,50,4
64,76,29.78,0,Cloudy,50,2
62,85,29.77,0,Cloudy,20,2
62,79,29.78,0,Cloudy,50,2
61,81,29.81,1,Cloudy,50,4
62,78,29.86,2,Cloudy,70,2
64,76,29.8,3,Cloudy,340,4
63,75,29.8,1,Cloudy,20,7
61,75,29.86,0,Cloudy,50,4
60,77,29.84,0,Cloudy,50,4
60,79,29.8,0,Cloudy,50,4
60,73,29.83,1,Cloudy,50,4
61,69,29.85,2,Cloudy,50,7
62,65,29.79,3,Cloudy,50,7
61,68,29.79,1,Cloudy,20,4
59,68,29.82,0,Cloudy,20,7
57,75,29.83,0,Cloudy,360,11
55,80,29.81,0,Cloudy,360,9
53,85,29.83,0,Rain,20,13
53,79,29.83,1,Cloudy,20,7
52,96,29.86,2,Cloudy,20,9
53,95,29.78,3,Cloudy,360,7
54,88,29.78,1,Rain,360,7
51,95,29.82,0,Rain,360,11
51,92,29.82,0,Rain,360,7
51,97,29.8,0,Light Rain,360,4
51,None,29.77,0,Rain,340,4
51,97,29.79,1,Rain,20,4
52,97,29.84,2,Rain,360,2
53,99,29.75,3,Rain,360,2
53,97,29.74,1,Rain,340,4
53,99,29.79,0,Rain,340,7
52,99,29.82,0,Rain,360,4
52,97,29.79,0,Cloudy,340,4
52,97,29.77,0,Cloudy,360,4
58,81,29.84,3,Mostly Cloudy,20,4
66,60,29.75,4,Mostly Cloudy,50,4
64,62,29.73,1,Mostly Cloudy,50,7
57,73,29.79,0,Mostly Cloudy,70,7
55,75,29.83,0,Mostly Cloudy,50,9
54,74,29.82,0,Partly Cloudy,20,9
51,82,29.79,0,Partly Cloudy,360,9
50,82,29.84,1,Cloudy,340,7
62,54,29.87,3,Mostly Cloudy,20,7
67,47,29.75,4,Mostly Cloudy,20,4
66,53,29.71,1,Partly Cloudy,180,9
60,73,29.75,0,Partly Cloudy,90,4
58,76,29.8,0,Partly Cloudy,140,4
57,78,29.8,0,Partly Cloudy,90,4
56,77,29.8,0,Mostly Cloudy,90,4
52,88,29.85,1,Mostly Cloudy,70,7
62,65,29.88,3,Mostly Cloudy,360,4
67,58,29.79,4,Mostly Cloudy,340,4
67,56,29.76,1,Mostly Cloudy,320,4
61,79,29.78,0,Mostly Cloudy,140,7
59,82,29.81,0,Mostly Cloudy,160,7
56,89,29.79,0,Mostly Cloudy,340,2
55,92,29.77,0,Mostly Cloudy,None,None
54,91,29.81,1,Mostly Cloudy,50,4
62,77,29.85,3,Mostly Cloudy,200,2
70,53,29.77,4,Mostly Cloudy,200,2
67,59,29.71,1,Mostly Cloudy,180,4
60,78,29.74,0,Mostly Cloudy,160,7
59,74,29.78,0,Mostly Cloudy,160,4
55,85,29.78,0,Mostly Cloudy,70,4
55,84,29.77,0,Mostly Cloudy,70,7
54,81,29.81,1,Mostly Cloudy,50,7
65,55,29.87,3,Mostly Cloudy,70,4
71,52,29.79,4,Mostly Cloudy,90,4
70,52,29.74,1,Mostly Cloudy,None,None
62,70,29.77,0,Mostly Cloudy,180,7
62,72,29.81,0,Mostly Cloudy,140,4
60,78,29.79,0,Partly Cloudy,270,4
56,92,29.75,0,Mostly Cloudy,20,9
57,83,29.81,1,Mostly Cloudy,50,4
66,53,29.87,3,Mostly Cloudy,90,7
71,46,29.79,4,Mostly Cloudy,110,4
71,49,29.76,1,Mostly Cloudy,160,4
62,64,29.8,0,Mostly Cloudy,90,2
59,68,29.81,0,Partly Cloudy,70,4
57,77,29.79,0,Mostly Cloudy,70,2
58,71,29.77,0,Mostly Cloudy,50,4
58,82,29.81,1,Mostly Cloudy,70,7
65,62,29.87,3,Mostly Cloudy,70,9
71,49,29.8,4,Mostly Cloudy,None,None
70,55,29.75,1,Mostly Cloudy,180,7
63,68,29.78,0,Mostly Cloudy,160,4
62,77,29.81,0,Mostly Cloudy,360,7
59,82,29.81,0,Mostly Cloudy,360,4
59,82,29.78,0,Mostly Cloudy,90,4
58,79,29.82,1,Mostly Cloudy,70,4
66,57,29.86,3,Mostly Cloudy,340,2
70,45,29.75,4,Mostly Cloudy,70,4
70,57,29.71,1,Mostly Cloudy,180,4
62,77,29.74,0,Mostly Cloudy,160,7
61,78,29.77,0,Mostly Cloudy,160,7
60,81,29.74,0,Mostly Cloudy,110,4
58,88,29.72,0,Mostly Cloudy,70,4
59,80,29.74,1,Mostly Cloudy,110,4
65,69,29.78,3,Mostly Cloudy,None,None
71,52,29.69,4,Mostly Cloudy,180,7
69,56,29.66,1,Mostly Cloudy,180,7
63,72,29.68,0,Mostly Cloudy,160,7
64,77,29.75,0,Mostly Cloudy,140,4
61,84,29.76,0,Mostly Cloudy,50,2
58,90,29.75,0,Mostly Cloudy,70,4
60,84,29.8,1,Mostly Cloudy,110,7
66,73,29.85,3,Mostly Cloudy,340,7
73,61,29.76,4,Mostly Cloudy,290,7
68,66,29.73,1,Mostly Cloudy,180,7
64,78,29.76,0,Mostly Cloudy,180,7
62,84,29.79,0,Mostly Cloudy,180,4
62,79,29.77,0,Mostly Cloudy,200,4
