Temperature,Humidity,Pressure,UV index,Conclusion
68.0,83.0,30.1,0,Mostly Cloudy
68.0,83.0,30.1,0,Light Rain
66.0,88.0,30.1,0,Light Rain
66.0,88.0,30.07,0,Light Rain
66.0,88.0,30.07,0,Light Rain
66.0,88.0,30.07,0,Light Rain
66.0,88.0,30.07,0,Light Rain
64.0,94.0,30.07,0,Light Rain
64.0,94.0,30.07,0,Light Rain
64.0,94.0,30.07,0,Light Rain
64.0,94.0,30.1,0,Light Rain
64.0,94.0,30.1,0,Light Rain
64.0,94.0,30.1,0,Light Rain
64.0,94.0,30.13,1,Light Rain
64.0,94.0,30.13,1,Light Rain
64.0,94.0,30.15,1,Light Rain
66.0,88.0,30.15,1,Light Rain
66.0,94.0,30.18,2,Mostly Cloudy
68.0,88.0,30.18,2,Mostly Cloudy
68.0,88.0,30.18,3,Mostly Cloudy
70.0,78.0,30.18,4,Mostly Cloudy
72.0,73.0,30.15,4,Mostly Cloudy
72.0,73.0,30.15,6,Partly Cloudy
73.0,53.0,30.13,6,Partly Cloudy
73.0,57.0,30.13,6,Partly Cloudy
75.0,57.0,30.1,6,Partly Cloudy
75.0,57.0,30.1,6,Partly Cloudy
75.0,53.0,30.07,5,Partly Cloudy
73.0,61.0,30.07,4,Partly Cloudy
73.0,57.0,30.07,3,Partly Cloudy
75.0,50.0,30.07,2,Partly Cloudy
75.0,57.0,30.07,2,Partly Cloudy
72.0,60.0,30.07,1,Partly Cloudy
73.0,57.0,30.07,1,Partly Cloudy
72.0,64.0,30.1,1,Partly Cloudy
72.0,64.0,30.1,0,Partly Cloudy
72.0,64.0,30.1,0,Partly Cloudy
72.0,64.0,30.13,0,Partly Cloudy
70.0,68.0,30.13,0,Partly Cloudy
70.0,68.0,30.15,0,Partly Cloudy
72.0,69.0,30.15,0,Partly Cloudy
72.0,69.0,30.15,0,Partly Cloudy
72.0,69.0,30.15,0,Partly Cloudy
72.0,69.0,30.15,0,Partly Cloudy
72.0,69.0,30.15,0,Partly Cloudy
72.0,69.0,30.15,0,Partly Cloudy
72.0,73.0,30.15,0,Partly Cloudy
72.0,73.0,30.13,0,Partly Cloudy
72.0,69.0,30.13,0,Partly Cloudy
72.0,69.0,30.1,0,Partly Cloudy
72.0,69.0,30.1,0,Partly Cloudy
72.0,73.0,30.1,0,Partly Cloudy
70.0,78.0,30.1,0,Partly Cloudy
70.0,78.0,30.07,0,Partly Cloudy
68.0,88.0,30.07,0,Partly Cloudy
68.0,88.0,30.07,0,Light Rain
68.0,94.0,30.07,0,Light Rain
66.0,94.0,30.07,0,Mostly Cloudy
66.0,94.0,30.07,0,Mostly Cloudy
66.0,94.0,30.07,0,Mostly Cloudy
68.0,88.0,30.1,0,Mostly Cloudy
68.0,88.0,30.1,1,Light Rain
70.0,78.0,30.13,1,Light Rain
68.0,83.0,30.13,1,Light Rain
72.0,69.0,30.13,1,Mostly Cloudy
73.0,65.0,30.15,2,Mostly Cloudy
73.0,65.0,30.15,2,Mostly Cloudy
73.0,69.0,30.15,3,Mostly Cloudy
75.0,61.0,30.15,4,Mostly Cloudy
73.0,69.0,30.15,4,Mostly Cloudy
75.0,65.0,30.15,5,Mostly Cloudy
75.0,65.0,30.13,5,Mostly Cloudy
73.0,69.0,30.1,5,Mostly Cloudy
73.0,69.0,30.1,5,Mostly Cloudy
73.0,69.0,30.07,5,Mostly Cloudy
73.0,69.0,30.07,4,Mostly Cloudy
72.0,73.0,30.04,3,Mostly Cloudy
72.0,73.0,30.04,3,Mostly Cloudy
70.0,83.0,30.04,2,Light Rain
68.0,88.0,30.04,1,Light Rain
70.0,88.0,30.07,1,Fog
70.0,88.0,30.07,1,Fog
68.0,94.0,30.07,1,Fog
68.0,94.0,30.07,0,Fog
70.0,83.0,30.07,0,Fog
70.0,83.0,30.07,0,Fog
68.0,94.0,30.1,0,Light Rain
68.0,94.0,30.1,0,Light Rain
68.0,94.0,30.1,0,Fog
68.0,94.0,30.1,0,Light Rain
68.0,94.0,30.1,0,Fog
68.0,94.0,30.1,0,Fog
68.0,94.0,30.1,0,Fog
68.0,94.0,30.1,0,Fog
70.0,88.0,30.1,0,Fog
70.0,88.0,30.1,0,Fog
70.0,88.0,30.1,0,Fog
70.0,88.0,30.07,0,Fog
70.0,88.0,30.07,0,Fog
68.0,94.0,30.07,0,Fog
68.0,94.0,30.07,0,Fog
68.0,94.0,30.04,0,Fog
68.0,94.0,30.04,0,Fog
70.0,88.0,30.04,0,Fog
72.0,78.0,30.04,0,Fog
72.0,78.0,30.04,0,Fog
72.0,78.0,30.04,0,Fog
72.0,78.0,30.07,0,Fog
72.0,78.0,30.07,0,Fog
72.0,78.0,30.07,1,Fog
72.0,78.0,30.1,1,Fog
72.0,78.0,30.1,1,Fog
73.0,69.0,30.1,1,Mostly Cloudy
73.0,73.0,30.13,2,Mostly Cloudy
73.0,73.0,30.13,2,Mostly Cloudy
73.0,69.0,30.13,3,Mostly Cloudy
73.0,69.0,30.13,4,Mostly Cloudy
73.0,69.0,30.13,4,Mostly Cloudy
73.0,69.0,30.1,5,Mostly Cloudy
73.0,69.0,30.1,5,Mostly Cloudy
73.0,69.0,30.07,5,Mostly Cloudy
73.0,73.0,30.04,5,Mostly Cloudy
72.0,78.0,30.04,5,Mostly Cloudy
73.0,73.0,30.01,4,Mostly Cloudy
73.0,73.0,30.01,3,Mostly Cloudy
72.0,78.0,30.01,3,Mostly Cloudy
72.0,78.0,30.01,2,Light Rain
70.0,83.0,30.01,1,Light Rain
70.0,88.0,30.01,1,Light Rain
70.0,88.0,30.01,1,Mostly Cloudy
70.0,88.0,30.01,1,Mostly Cloudy
70.0,88.0,30.01,0,Mostly Cloudy
70.0,88.0,30.01,0,Mostly Cloudy
70.0,88.0,30.01,0,Mostly Cloudy
70.0,88.0,30.04,0,Mostly Cloudy
70.0,88.0,30.04,0,Mostly Cloudy
70.0,88.0,30.04,0,Mostly Cloudy
70.0,88.0,30.04,0,Mostly Cloudy
68.0,94.0,30.04,0,Mostly Cloudy
68.0,94.0,30.04,0,Mostly Cloudy
68.0,94.0,30.01,0,Mostly Cloudy
68.0,94.0,30.01,0,Mostly Cloudy
68.0,94.0,30.01,0,Mostly Cloudy
68.0,94.0,30.01,0,Mostly Cloudy
68.0,94.0,29.98,0,Mostly Cloudy
68.0,94.0,29.98,0,Mostly Cloudy
68.0,94.0,29.98,0,Mostly Cloudy
68.0,94.0,29.95,0,Mostly Cloudy
68.0,94.0,29.95,0,Mostly Cloudy
68.0,94.0,29.95,0,Mostly Cloudy
68.0,94.0,29.92,0,Mostly Cloudy
68.0,94.0,29.92,0,Mostly Cloudy
68.0,94.0,29.95,0,Mostly Cloudy
68.0,94.0,29.95,0,Mostly Cloudy
68.0,94.0,29.95,0,Mostly Cloudy
68.0,94.0,29.95,0,Mostly Cloudy
68.0,94.0,29.95,0,Fog
68.0,94.0,29.95,1,Fog
68.0,94.0,29.98,1,Fog
70.0,88.0,29.98,1,Fog
70.0,94.0,30.01,1,Mostly Cloudy
72.0,83.0,30.01,2,Mostly Cloudy
75.0,78.0,30.01,2,Mostly Cloudy
79.0,69.0,30.01,4,Partly Cloudy
79.0,65.0,29.98,5,Partly Cloudy
79.0,65.0,29.98,5,Partly Cloudy
77.0,65.0,29.98,6,Partly Cloudy
77.0,65.0,29.95,6,Partly Cloudy
79.0,61.0,29.95,6,Partly Cloudy
81.0,61.0,29.92,6,Partly Cloudy
77.0,69.0,29.89,6,Partly Cloudy
77.0,65.0,29.89,5,Partly Cloudy
77.0,69.0,29.89,4,Partly Cloudy
77.0,65.0,29.86,3,Mostly Cloudy
77.0,65.0,29.86,2,Mostly Cloudy
77.0,69.0,29.86,1,Mostly Cloudy
75.0,73.0,29.86,1,Mostly Cloudy
75.0,73.0,29.86,1,Partly Cloudy
73.0,78.0,29.86,1,Partly Cloudy
73.0,78.0,29.86,0,Partly Cloudy
73.0,78.0,29.89,0,Partly Cloudy
73.0,83.0,29.89,0,Partly Cloudy
72.0,88.0,29.89,0,Partly Cloudy
72.0,88.0,29.89,0,Partly Cloudy
72.0,88.0,29.89,0,Partly Cloudy
72.0,88.0,29.89,0,Partly Cloudy
72.0,88.0,29.89,0,Partly Cloudy
70.0,88.0,29.89,0,Partly Cloudy
70.0,88.0,29.89,0,Partly Cloudy
70.0,88.0,29.89,0,Partly Cloudy
70.0,88.0,29.89,0,Partly Cloudy
70.0,88.0,29.89,0,Partly Cloudy
70.0,88.0,29.89,0,Partly Cloudy
72.0,83.0,29.89,0,Partly Cloudy
72.0,83.0,29.86,0,Partly Cloudy
70.0,88.0,29.86,0,Partly Cloudy
70.0,88.0,29.86,0,Partly Cloudy
68.0,94.0,29.86,0,Partly Cloudy
68.0,94.0,29.86,0,Partly Cloudy
68.0,94.0,29.86,0,Partly Cloudy
68.0,94.0,29.86,0,Partly Cloudy
68.0,94.0,29.86,0,Partly Cloudy
66.0,94.0,29.86,0,Partly Cloudy
66.0,94.0,29.86,0,Partly Cloudy
66.0,94.0,29.86,0,Partly Cloudy
66.0,94.0,29.89,1,Partly Cloudy
70.0,94.0,29.89,1,Partly Cloudy
72.0,88.0,29.89,1,Partly Cloudy
75.0,78.0,29.92,1,Partly Cloudy
77.0,69.0,29.92,2,Partly Cloudy
79.0,69.0,29.92,3,Partly Cloudy
79.0,69.0,29.92,4,Partly Cloudy
81.0,61.0,29.89,5,Partly Cloudy
82.0,62.0,29.89,5,Partly Cloudy
82.0,62.0,29.86,6,Partly Cloudy
82.0,62.0,29.86,6,Partly Cloudy
82.0,62.0,29.83,6,Partly Cloudy
82.0,62.0,29.83,6,Partly Cloudy
81.0,65.0,29.8,6,Partly Cloudy
81.0,65.0,29.8,5,Partly Cloudy
81.0,65.0,29.8,4,Partly Cloudy
81.0,70.0,29.8,3,Partly Cloudy
79.0,74.0,29.8,2,Partly Cloudy
79.0,74.0,29.8,2,Partly Cloudy
77.0,78.0,29.8,1,Partly Cloudy
77.0,74.0,29.8,1,Partly Cloudy
77.0,78.0,29.83,1,Partly Cloudy
75.0,83.0,29.83,0,Partly Cloudy
75.0,83.0,29.83,0,Partly Cloudy
75.0,83.0,29.86,0,Partly Cloudy
75.0,83.0,29.86,0,Partly Cloudy
75.0,83.0,29.86,0,Partly Cloudy
73.0,88.0,29.89,0,Partly Cloudy
73.0,88.0,29.89,0,Partly Cloudy
73.0,88.0,29.89,0,Partly Cloudy
73.0,88.0,29.89,0,Partly Cloudy
73.0,88.0,29.89,0,Partly Cloudy
73.0,88.0,29.89,0,Partly Cloudy
73.0,88.0,29.89,0,Partly Cloudy
73.0,88.0,29.86,0,Partly Cloudy
73.0,88.0,29.86,0,Partly Cloudy
73.0,88.0,29.86,0,Partly Cloudy
73.0,88.0,29.86,0,Partly Cloudy
73.0,88.0,29.86,0,Partly Cloudy
73.0,88.0,29.83,0,Partly Cloudy
72.0,94.0,29.83,0,Partly Cloudy
72.0,88.0,29.83,0,Partly Cloudy
72.0,94.0,29.83,0,Partly Cloudy
72.0,94.0,29.83,0,Partly Cloudy
72.0,94.0,29.83,0,Partly Cloudy
72.0,94.0,29.86,0,Partly Cloudy
72.0,94.0,29.86,0,Partly Cloudy
72.0,94.0,29.86,0,Partly Cloudy
72.0,94.0,29.86,1,Fog
72.0,94.0,29.89,1,Fog
75.0,89.0,29.89,1,Fog
77.0,83.0,29.89,1,Mostly Cloudy
77.0,78.0,29.92,2,Partly Cloudy
79.0,74.0,29.92,3,Partly Cloudy
79.0,78.0,29.92,4,Partly Cloudy
81.0,70.0,29.92,5,Partly Cloudy
82.0,70.0,29.89,5,Partly Cloudy
81.0,74.0,29.89,6,Partly Cloudy
81.0,74.0,29.89,6,Partly Cloudy
81.0,74.0,29.86,7,Partly Cloudy
81.0,74.0,29.86,6,Partly Cloudy
81.0,74.0,29.83,6,Partly Cloudy
82.0,70.0,29.83,5,Partly Cloudy
81.0,70.0,29.83,4,Partly Cloudy
81.0,70.0,29.83,3,Partly Cloudy
81.0,70.0,29.83,3,Fair
79.0,78.0,29.83,2,Partly Cloudy
77.0,83.0,29.83,1,Partly Cloudy
77.0,83.0,29.86,1,Partly Cloudy
77.0,83.0,29.86,1,Mostly Cloudy
77.0,83.0,29.86,0,Mostly Cloudy
77.0,83.0,29.86,0,Mostly Cloudy
77.0,83.0,29.86,0,Partly Cloudy
75.0,89.0,29.89,0,Partly Cloudy
77.0,83.0,29.89,0,Partly Cloudy
77.0,83.0,29.89,0,Partly Cloudy
75.0,89.0,29.89,0,Partly Cloudy
75.0,89.0,29.92,0,Partly Cloudy
75.0,89.0,29.89,0,Partly Cloudy
75.0,89.0,29.89,0,Partly Cloudy
75.0,89.0,29.89,0,Partly Cloudy
75.0,89.0,29.89,0,Partly Cloudy
75.0,89.0,29.89,0,Partly Cloudy
75.0,89.0,29.89,0,Partly Cloudy
75.0,89.0,29.89,0,Partly Cloudy
75.0,89.0,29.89,0,Partly Cloudy
