Temperature,Humidity,Pressure,UV index,Conclusion,Wind direction,Wind speed
59,88,30.16,0,Fog,270,3
59,88,30.19,0,Fog,270,1
57,94,30.16,0,Fog,270,3
57,88,30.16,0,Fog,270,1
55,94,30.16,0,Fog,90,3
57,88,30.16,0,Fog,258.3333333333333,1
55,94,30.16,0,Fog,259.76190476190476,1
54,100,30.16,0,Fog,320,2
55,94,30.16,0,Fog,330,2
54,94,30.19,0,Fog,280,1
54,94,30.22,1,Fog,10,2
54,94,30.22,1,Fog,258.3333333333333,0
55,94,30.25,1,Fog,310,3
57,94,30.28,2,Fog,300,3
61,88,30.28,3,Fog,239.7222222222222,3
63,82,30.28,4,Fog,280,6
66,68,30.28,5,Fair,280,5
68,64,30.28,6,Fair,223.94444444444443,3
72,46,30.25,7,Fair,208.7333333333333,3
72,38,30.25,7,Fair,175.44629629629628,6
73,38,30.22,7,Fair,20,7
75,31,30.22,7,Fair,125.44629629629628,5
75,31,30.19,7,Fair,40,6
75,31,30.16,6,Fair,90,6
75,29,30.16,5,Fair,120,6
75,25,30.16,4,Fair,110,7
75,25,30.16,3,Fair,88.33333333333333,5
75,27,30.16,2,Fair,102.6190476190476,3
75,27,30.16,1,Fair,70,5
73,31,30.16,1,Fair,100,3
73,31,30.16,1,Fair,140,7
70,35,30.16,0,Fair,160,6
70,35,30.16,0,Fair,170,5
68,37,30.16,0,Fair,142.0,3
64,56,30.16,0,Fair,148.66666666666666,1
66,49,30.19,0,Fair,148.66666666666666,3
64,52,30.22,0,Fair,140,8
64,52,30.22,0,Fair,140,8
64,49,30.22,0,Fair,140,9
63,52,30.22,0,Fair,140,7
63,55,30.22,0,Fair,150,5
61,59,30.25,0,Fair,196.66666666666666,3
59,67,30.22,0,Fair,222.38095238095235,2
57,77,30.22,0,Fair,290,5
55,82,30.22,0,Fair,320,5
57,72,30.22,0,Fair,320,5
55,82,30.22,0,Fair,297.4829931972789,3
55,82,30.22,0,Fair,310,3
54,82,30.19,0,Fair,320,3
54,82,30.19,0,Fair,300,5
52,88,30.19,0,Fair,320,3
54,82,30.19,0,Fair,320,3
52,88,30.16,0,Fair,320,2
