Temperature,Humidity,Pressure,UV index,Conclusion,Wind direction,Wind speed
59,88,30.16,0,Fog,270,3
59,88,30.19,0,Fog,None,1
57,94,30.16,0,Fog,270,3
57,88,30.16,0,Fog,None,1
55,94,30.16,0,Fog,90,3
57,88,30.16,0,Fog,None,1
55,94,30.16,0,Fog,None,1
54,100,30.16,0,Fog,320,2
55,94,30.16,0,Fog,330,2
54,94,30.19,0,Fog,280,1
54,94,30.22,1,Fog,10,2
54,94,30.22,1,Fog,None,0
55,94,30.25,1,Fog,310,3
57,94,30.28,2,Fog,300,3
61,88,30.28,3,Fog,None,3
63,82,30.28,4,Fog,280,6
66,68,30.28,5,Fair,280,5
68,64,30.28,6,Fair,None,3
72,46,30.25,7,Fair,None,3
72,38,30.25,7,Fair,None,6
73,38,30.22,7,Fair,20,7
75,31,30.22,7,Fair,None,5
75,31,30.19,7,Fair,40,6
75,31,30.16,6,Fair,90,6
75,29,30.16,5,Fair,120,6
75,25,30.16,4,Fair,110,7
75,25,30.16,3,Fair,None,5
75,27,30.16,2,Fair,None,3
75,27,30.16,1,Fair,70,5
73,31,30.16,1,Fair,100,3
73,31,30.16,1,Fair,140,7
70,35,30.16,0,Fair,160,6
70,35,30.16,0,Fair,170,5
68,37,30.16,0,Fair,None,3
64,56,30.16,0,Fair,None,1
66,49,30.19,0,Fair,None,3
64,52,30.22,0,Fair,140,8
64,52,30.22,0,Fair,140,8
64,49,30.22,0,Fair,140,9
63,52,30.22,0,Fair,140,7
63,55,30.22,0,Fair,150,5
61,59,30.25,0,Fair,None,3
59,67,30.22,0,Fair,None,2
57,77,30.22,0,Fair,290,5
55,82,30.22,0,Fair,320,5
57,72,30.22,0,Fair,320,5
55,82,30.22,0,Fair,None,3
55,82,30.22,0,Fair,310,3
54,82,30.19,0,Fair,320,3
54,82,30.19,0,Fair,300,5
52,88,30.19,0,Fair,320,3
54,82,30.19,0,Fair,320,3
52,88,30.16,0,Fair,320,2
52,88,30.19,0,Fair,None,2
54,82,30.19,0,Fair,50,1
52,82,30.19,0,Fair,None,1
52,82,30.19,0,Fair,100,3
52,88,30.19,0,Fog,90,5
52,88,30.22,1,Fog,None,2
52,88,30.22,1,Fog,None,0
55,82,30.22,1,Fog,None,1
57,77,30.25,1,Mostly Cloudy,None,1
59,67,30.25,2,Mostly Cloudy,None,3
63,59,30.25,2,Mostly Cloudy,60,3
63,59,30.25,3,Mostly Cloudy,None,2
64,56,30.25,3,Mostly Cloudy,None,1
66,43,30.25,4,Mostly Cloudy,None,2
66,46,30.22,4,Mostly Cloudy,None,3
66,49,30.22,4,Mostly Cloudy,350,5
70,43,30.19,4,Mostly Cloudy,None,3
70,43,30.16,7,Fair,110,7
