Temperature,Humidity,Pressure,UV index,Conclusion
66.0,88.0,30.09,0,Mostly Cloudy
66.0,88.0,30.09,0,Mostly Cloudy
68.0,83.0,30.09,0,Mostly Cloudy
68.0,83.0,30.09,0,Mostly Cloudy
66.0,88.0,30.09,0,Mostly Cloudy
66.0,88.0,30.09,0,Mostly Cloudy
66.0,88.0,30.06,0,Mostly Cloudy
66.0,88.0,30.06,0,Mostly Cloudy
66.0,88.0,30.06,0,Mostly Cloudy
66.0,88.0,30.09,0,Mostly Cloudy
66.0,88.0,30.09,0,Mostly Cloudy
64.0,94.0,30.09,0,Light Rain
64.0,94.0,30.12,0,Light Rain
64.0,94.0,30.12,1,Mostly Cloudy
64.0,94.0,30.15,1,Light Rain
64.0,100.0,30.15,1,Fog
64.0,94.0,30.15,1,Fog
66.0,94.0,30.18,2,Mostly Cloudy
68.0,88.0,30.18,2,Mostly Cloudy
68.0,88.0,30.18,3,Mostly Cloudy
68.0,88.0,30.18,4,Mostly Cloudy
68.0,83.0,30.18,4,Mostly Cloudy
72.0,69.0,30.15,6,Partly Cloudy
73.0,69.0,30.15,6,Partly Cloudy
75.0,65.0,30.12,6,Partly Cloudy
73.0,69.0,30.12,6,Partly Cloudy
73.0,69.0,30.12,6,Partly Cloudy
75.0,78.0,30.09,5,Partly Cloudy
75.0,57.0,30.06,4,Partly Cloudy
77.0,54.0,30.06,3,Partly Cloudy
77.0,54.0,30.06,2,Partly Cloudy
73.0,61.0,30.06,2,Partly Cloudy
73.0,65.0,30.09,1,Fair
72.0,69.0,30.09,1,Fair
72.0,69.0,30.09,1,Fair
70.0,73.0,30.12,0,Fair
70.0,78.0,30.12,0,Fair
68.0,83.0,30.12,0,Fair
68.0,83.0,30.15,0,Fair
64.0,94.0,30.15,0,Fair
64.0,94.0,30.15,0,Fair
64.0,94.0,30.18,0,Fair
64.0,94.0,30.18,0,Fair
63.0,94.0,30.15,0,Fair
63.0,94.0,30.15,0,Fair
63.0,94.0,30.15,0,Fair
63.0,94.0,30.15,0,Fair
63.0,94.0,30.12,0,Fair
63.0,100.0,30.12,0,Fair
64.0,94.0,30.12,0,Fair
64.0,94.0,30.12,0,Fair
64.0,94.0,30.12,0,Fair
64.0,94.0,30.09,0,Fair
64.0,94.0,30.09,0,Fair
64.0,94.0,30.09,0,Light Rain
64.0,94.0,30.09,0,Light Rain
64.0,94.0,30.09,0,Mostly Cloudy
64.0,83.0,30.09,0,Light Rain
64.0,94.0,30.09,0,Light Rain
64.0,100.0,30.09,0,Light Rain
64.0,100.0,30.09,0,Light Rain
64.0,100.0,30.12,1,Light Rain
64.0,94.0,30.12,1,Light Rain
64.0,100.0,30.15,1,Light Rain
64.0,100.0,30.15,1,Light Rain
64.0,100.0,30.15,2,Light Rain
64.0,100.0,30.18,2,Light Rain
66.0,100.0,30.18,3,Light Rain
68.0,94.0,30.18,4,Light Rain
70.0,88.0,30.15,4,Mostly Cloudy
72.0,83.0,30.15,5,Mostly Cloudy
72.0,83.0,30.15,5,Mostly Cloudy
72.0,83.0,30.12,5,Mostly Cloudy
72.0,83.0,30.09,4,Mostly Cloudy
70.0,88.0,30.06,4,Mostly Cloudy
70.0,88.0,30.06,3,Mostly Cloudy
68.0,94.0,30.06,3,Mostly Cloudy
68.0,94.0,30.03,2,Light Rain
68.0,94.0,30.03,1,Light Rain
66.0,100.0,30.06,1,Light Rain
66.0,100.0,30.06,1,Light Rain
68.0,94.0,30.06,1,Light Rain
66.0,100.0,30.06,0,Light Rain
66.0,100.0,30.09,0,Light Rain
68.0,94.0,30.09,0,Light Rain
68.0,94.0,30.09,0,Light Rain
68.0,94.0,30.12,0,Light Rain
68.0,94.0,30.12,0,Light Rain
68.0,94.0,30.12,0,Light Rain
68.0,94.0,30.12,0,Light Rain
68.0,94.0,30.12,0,Light Rain
68.0,94.0,30.12,0,Light Rain
66.0,100.0,30.12,0,Light Rain
66.0,100.0,30.09,0,Light Rain
66.0,100.0,30.09,0,Light Rain
66.0,100.0,30.09,0,Rain
66.0,94.0,30.09,0,Rain
66.0,100.0,30.06,0,Light Rain
66.0,100.0,30.06,0,Light Rain
66.0,100.0,30.06,0,Light Rain
66.0,100.0,30.06,0,Light Rain
