Temperature,Humidity,Pressure,UV index,Conclusion
77.0,69.0,29.88,0,Partly Cloudy
75.0,73.0,29.85,0,Partly Cloudy
77.0,74.0,29.85,0,Partly Cloudy
75.0,78.0,29.85,0,Partly Cloudy
75.0,78.0,29.85,0,Partly Cloudy
75.0,78.0,29.85,0,Partly Cloudy
75.0,78.0,29.85,0,Partly Cloudy
75.0,78.0,29.85,0,Partly Cloudy
75.0,83.0,29.85,0,Partly Cloudy
75.0,78.0,29.85,0,Partly Cloudy
75.0,78.0,29.85,0,Partly Cloudy
75.0,73.0,29.85,0,Partly Cloudy
73.0,73.0,29.88,0,Partly Cloudy
73.0,69.0,29.88,1,Mostly Cloudy
73.0,69.0,29.88,1,Mostly Cloudy
75.0,65.0,29.91,1,Mostly Cloudy
75.0,65.0,29.91,1,Mostly Cloudy
77.0,61.0,29.94,2,Partly Cloudy
79.0,61.0,29.91,4,Fair
81.0,58.0,29.91,5,Fair
82.0,51.0,29.91,7,Fair
84.0,48.0,29.91,9,Fair
84.0,48.0,29.91,10,Fair
84.0,48.0,29.88,11,Fair
84.0,48.0,29.85,8,Partly Cloudy
86.0,45.0,29.85,8,Partly Cloudy
86.0,45.0,29.82,7,Partly Cloudy
86.0,45.0,29.82,6,Partly Cloudy
88.0,43.0,29.79,5,Partly Cloudy
88.0,43.0,29.79,4,Partly Cloudy
88.0,43.0,29.79,3,Partly Cloudy
88.0,40.0,29.79,2,Partly Cloudy
88.0,40.0,29.79,2,Partly Cloudy
86.0,43.0,29.79,1,Partly Cloudy
86.0,45.0,29.82,1,Partly Cloudy
84.0,48.0,29.82,1,Partly Cloudy
82.0,51.0,29.82,0,Partly Cloudy
81.0,58.0,29.85,0,Partly Cloudy
81.0,58.0,29.85,0,Partly Cloudy
81.0,58.0,29.88,0,Partly Cloudy
81.0,70.0,29.88,0,Partly Cloudy
79.0,74.0,29.91,0,Partly Cloudy
79.0,74.0,29.91,0,Partly Cloudy
79.0,47.0,29.91,0,Partly Cloudy
79.0,51.0,29.91,0,Partly Cloudy
77.0,50.0,29.91,0,Partly Cloudy
77.0,50.0,29.91,0,Partly Cloudy
75.0,53.0,29.91,0,Partly Cloudy
75.0,53.0,29.91,0,Partly Cloudy
75.0,50.0,29.88,0,Partly Cloudy
73.0,53.0,29.88,0,Partly Cloudy
73.0,53.0,29.88,0,Partly Cloudy
72.0,57.0,29.85,0,Fair
72.0,57.0,29.85,0,Fair
70.0,60.0,29.85,0,Fair
70.0,60.0,29.85,0,Fair
68.0,64.0,29.85,0,Fair
68.0,64.0,29.85,0,Fair
68.0,64.0,29.85,0,Fair
68.0,68.0,29.88,0,Fair
68.0,68.0,29.88,0,Fair
68.0,68.0,29.88,1,Partly Cloudy
68.0,68.0,29.88,1,Partly Cloudy
70.0,68.0,29.91,1,Mostly Cloudy
72.0,64.0,29.91,1,Mostly Cloudy
73.0,61.0,29.94,2,Partly Cloudy
75.0,61.0,29.94,3,Partly Cloudy
77.0,57.0,29.94,5,Partly Cloudy
81.0,51.0,29.94,6,Partly Cloudy
79.0,54.0,29.94,7,Partly Cloudy
82.0,51.0,29.91,9,Fair
82.0,51.0,29.91,9,Fair
84.0,45.0,29.88,10,Fair
86.0,45.0,29.85,9,Fair
86.0,45.0,29.85,9,Fair
86.0,45.0,29.82,8,Fair
86.0,45.0,29.82,6,Fair
86.0,45.0,29.82,5,Fair
86.0,43.0,29.82,3,Partly Cloudy
86.0,43.0,29.82,2,Partly Cloudy
84.0,45.0,29.82,1,Mostly Cloudy
84.0,48.0,29.82,1,Mostly Cloudy
84.0,48.0,29.85,1,Mostly Cloudy
81.0,54.0,29.85,1,Mostly Cloudy
79.0,57.0,29.85,0,Mostly Cloudy
79.0,57.0,29.88,0,Mostly Cloudy
77.0,61.0,29.88,0,Mostly Cloudy
77.0,65.0,29.88,0,Partly Cloudy
79.0,61.0,29.91,0,Partly Cloudy
79.0,61.0,29.91,0,Mostly Cloudy
79.0,61.0,29.91,0,Mostly Cloudy
79.0,61.0,29.91,0,Mostly Cloudy
77.0,65.0,29.91,0,Mostly Cloudy
77.0,65.0,29.88,0,Mostly Cloudy
77.0,65.0,29.88,0,Mostly Cloudy
75.0,69.0,29.88,0,Mostly Cloudy
75.0,69.0,29.88,0,Mostly Cloudy
75.0,69.0,29.88,0,Partly Cloudy
75.0,69.0,29.88,0,Partly Cloudy
75.0,69.0,29.85,0,Partly Cloudy
75.0,69.0,29.85,0,Partly Cloudy
75.0,69.0,29.85,0,Partly Cloudy
73.0,73.0,29.85,0,Partly Cloudy
73.0,73.0,29.85,0,Partly Cloudy
73.0,73.0,29.85,0,Partly Cloudy
73.0,73.0,29.85,0,Partly Cloudy
73.0,69.0,29.88,0,Mostly Cloudy
73.0,69.0,29.88,0,Mostly Cloudy
73.0,69.0,29.88,0,Mostly Cloudy
73.0,73.0,29.88,1,Mostly Cloudy
73.0,73.0,29.91,1,Partly Cloudy
75.0,69.0,29.91,1,Partly Cloudy
75.0,69.0,29.91,2,Fair
77.0,65.0,29.91,3,Fair
77.0,65.0,29.91,5,Fair
79.0,61.0,29.91,5,Fair
81.0,58.0,29.91,7,Fair
84.0,55.0,29.91,8,Fair
84.0,55.0,29.88,9,Fair
86.0,51.0,29.88,11,Fair
88.0,49.0,29.85,11,Fair
88.0,49.0,29.85,11,Fair
88.0,49.0,29.82,9,Fair
90.0,46.0,29.79,8,Fair
88.0,49.0,29.79,6,Fair
91.0,43.0,29.79,5,Fair
90.0,46.0,29.76,3,Partly Cloudy
90.0,46.0,29.76,2,Partly Cloudy
90.0,46.0,29.76,2,Partly Cloudy
88.0,49.0,29.76,1,Partly Cloudy
86.0,51.0,29.76,1,Partly Cloudy
86.0,55.0,29.79,1,Partly Cloudy
84.0,58.0,29.79,0,Fair
82.0,66.0,29.79,0,Fair
81.0,65.0,29.79,0,Fair
81.0,65.0,29.82,0,Fair
81.0,65.0,29.82,0,Partly Cloudy
79.0,69.0,29.85,0,Partly Cloudy
81.0,70.0,29.85,0,Partly Cloudy
79.0,74.0,29.85,0,Partly Cloudy
79.0,78.0,29.85,0,Partly Cloudy
79.0,78.0,29.85,0,Partly Cloudy
79.0,78.0,29.85,0,Partly Cloudy
77.0,83.0,29.85,0,Partly Cloudy
77.0,83.0,29.82,0,Partly Cloudy
79.0,78.0,29.82,0,Partly Cloudy
77.0,83.0,29.82,0,Partly Cloudy
75.0,89.0,29.82,0,Partly Cloudy
75.0,89.0,29.79,0,Partly Cloudy
75.0,89.0,29.79,0,Partly Cloudy
77.0,83.0,29.79,0,Partly Cloudy
75.0,83.0,29.79,0,Partly Cloudy
75.0,83.0,29.79,0,Partly Cloudy
75.0,83.0,29.79,0,Mostly Cloudy
75.0,83.0,29.79,0,Cloudy
75.0,78.0,29.79,0,Partly Cloudy
75.0,78.0,29.79,0,Partly Cloudy
75.0,78.0,29.82,1,Mostly Cloudy
75.0,78.0,29.82,1,Mostly Cloudy
77.0,74.0,29.82,1,Partly Cloudy
77.0,74.0,29.85,2,Partly Cloudy
79.0,74.0,29.85,2,Partly Cloudy
81.0,70.0,29.85,3,Partly Cloudy
82.0,66.0,29.85,5,Partly Cloudy
82.0,66.0,29.85,6,Partly Cloudy
84.0,62.0,29.85,7,Partly Cloudy
86.0,58.0,29.82,7,Partly Cloudy
86.0,58.0,29.82,11,Fair
90.0,52.0,29.79,10,Fair
90.0,49.0,29.79,9,Fair
90.0,52.0,29.76,9,Fair
90.0,52.0,29.76,8,Fair
90.0,49.0,29.76,7,Fair
90.0,49.0,29.73,5,Fair
90.0,49.0,29.73,3,Partly Cloudy
86.0,62.0,29.73,2,Partly Cloudy
86.0,62.0,29.73,2,Partly Cloudy
84.0,66.0,29.76,1,Partly Cloudy
84.0,66.0,29.76,1,Partly Cloudy
82.0,70.0,29.76,1,Partly Cloudy
82.0,70.0,29.79,0,Partly Cloudy
82.0,70.0,29.79,0,Mostly Cloudy
81.0,74.0,29.79,0,Mostly Cloudy
81.0,74.0,29.79,0,Mostly Cloudy
81.0,70.0,29.79,0,Mostly Cloudy
79.0,74.0,29.79,0,Mostly Cloudy
79.0,78.0,29.79,0,Mostly Cloudy
79.0,78.0,29.79,0,Mostly Cloudy
79.0,78.0,29.79,0,Mostly Cloudy
79.0,78.0,29.79,0,Mostly Cloudy
79.0,78.0,29.79,0,Mostly Cloudy
77.0,83.0,29.79,0,Mostly Cloudy
79.0,74.0,29.79,0,Mostly Cloudy
79.0,78.0,29.79,0,Mostly Cloudy
77.0,83.0,29.79,0,Mostly Cloudy
77.0,83.0,29.79,0,Mostly Cloudy
77.0,83.0,29.79,0,Mostly Cloudy
77.0,83.0,29.76,0,Mostly Cloudy
77.0,83.0,29.76,0,Mostly Cloudy
77.0,78.0,29.79,0,Mostly Cloudy
77.0,78.0,29.76,0,Mostly Cloudy
77.0,78.0,29.79,0,Mostly Cloudy
77.0,83.0,29.79,0,Mostly Cloudy
79.0,78.0,29.79,0,Mostly Cloudy
77.0,89.0,29.82,0,Light Rain
77.0,89.0,29.82,1,Rain
77.0,89.0,29.82,1,Mostly Cloudy
77.0,89.0,29.82,1,Mostly Cloudy
79.0,83.0,29.82,1,Mostly Cloudy
81.0,79.0,29.82,2,Partly Cloudy
82.0,70.0,29.82,3,Mostly Cloudy
82.0,70.0,29.82,4,Mostly Cloudy
84.0,66.0,29.82,4,Mostly Cloudy
86.0,58.0,29.82,5,Mostly Cloudy
88.0,55.0,29.82,7,Partly Cloudy
86.0,58.0,29.79,8,Partly Cloudy
86.0,58.0,29.79,8,Partly Cloudy
86.0,58.0,29.76,8,Partly Cloudy
88.0,55.0,29.76,7,Partly Cloudy
84.0,66.0,29.76,6,Light Rain with Thunder
77.0,89.0,29.76,4,Light Rain with Thunder
81.0,79.0,29.73,4,Partly Cloudy
82.0,74.0,29.73,3,Mostly Cloudy
82.0,79.0,29.76,2,Mostly Cloudy
81.0,79.0,29.76,1,Mostly Cloudy
81.0,74.0,29.76,1,Mostly Cloudy
81.0,74.0,29.76,1,Mostly Cloudy
81.0,70.0,29.76,1,Mostly Cloudy
81.0,74.0,29.76,0,Mostly Cloudy
79.0,78.0,29.76,0,Mostly Cloudy
81.0,74.0,29.79,0,Mostly Cloudy
81.0,74.0,29.79,0,Mostly Cloudy
79.0,78.0,29.79,0,Mostly Cloudy
79.0,78.0,29.79,0,Mostly Cloudy
79.0,78.0,29.82,0,Partly Cloudy
79.0,78.0,29.82,0,Partly Cloudy
79.0,78.0,29.82,0,Partly Cloudy
79.0,78.0,29.82,0,Partly Cloudy
79.0,78.0,29.79,0,Partly Cloudy
79.0,78.0,29.79,0,Partly Cloudy
79.0,78.0,29.79,0,Partly Cloudy
77.0,78.0,29.76,0,Partly Cloudy
77.0,78.0,29.76,0,Partly Cloudy
75.0,83.0,29.73,0,Partly Cloudy
75.0,83.0,29.73,0,Partly Cloudy
75.0,83.0,29.73,0,Partly Cloudy
75.0,83.0,29.73,0,Partly Cloudy
75.0,83.0,29.76,0,Partly Cloudy
75.0,83.0,29.76,0,Partly Cloudy
75.0,83.0,29.79,0,Partly Cloudy
75.0,83.0,29.79,0,Fair
73.0,94.0,29.79,0,Fair
75.0,89.0,29.82,1,Fair
75.0,89.0,29.82,1,Partly Cloudy
77.0,89.0,29.85,1,Fog
77.0,89.0,29.85,2,Fog
77.0,83.0,29.85,2,Fog
79.0,78.0,29.85,3,Haze
82.0,70.0,29.85,5,Fog
84.0,62.0,29.85,6,Partly Cloudy
82.0,66.0,29.85,7,Partly Cloudy
84.0,66.0,29.82,7,Partly Cloudy
88.0,55.0,29.82,8,Partly Cloudy
88.0,58.0,29.79,8,Partly Cloudy
90.0,52.0,29.79,8,Partly Cloudy
90.0,52.0,29.76,7,Partly Cloudy
90.0,55.0,29.73,6,Partly Cloudy
90.0,52.0,29.73,5,Partly Cloudy
86.0,62.0,29.73,4,Light Rain Shower
84.0,66.0,29.73,3,Mostly Cloudy
84.0,62.0,29.73,2,Mostly Cloudy
84.0,62.0,29.73,1,Mostly Cloudy
84.0,66.0,29.73,1,Mostly Cloudy
82.0,70.0,29.73,1,Partly Cloudy
82.0,70.0,29.73,1,Partly Cloudy
82.0,70.0,29.73,0,Partly Cloudy
82.0,70.0,29.76,0,Partly Cloudy
81.0,74.0,29.76,0,Partly Cloudy
81.0,74.0,29.76,0,Partly Cloudy
81.0,70.0,29.76,0,Partly Cloudy
81.0,70.0,29.76,0,Partly Cloudy
81.0,70.0,29.76,0,Partly Cloudy
81.0,70.0,29.76,0,Partly Cloudy
79.0,74.0,29.76,0,Partly Cloudy
77.0,83.0,29.79,0,Partly Cloudy
75.0,89.0,29.76,0,Partly Cloudy
77.0,83.0,29.79,0,Partly Cloudy
75.0,89.0,29.79,0,Partly Cloudy
77.0,83.0,29.79,0,Partly Cloudy
77.0,83.0,29.79,0,Partly Cloudy
77.0,83.0,29.76,0,Partly Cloudy
77.0,83.0,29.76,0,Partly Cloudy
75.0,83.0,29.76,0,Partly Cloudy
75.0,89.0,29.76,0,Partly Cloudy
77.0,78.0,29.76,0,Partly Cloudy
77.0,78.0,29.76,0,Partly Cloudy
77.0,78.0,29.76,0,Partly Cloudy
75.0,89.0,29.76,0,Partly Cloudy
75.0,89.0,29.79,0,Partly Cloudy
75.0,89.0,29.79,0,Mostly Cloudy
75.0,89.0,29.79,1,Mostly Cloudy
75.0,89.0,29.82,1,Fog
75.0,89.0,29.82,1,Fog
77.0,89.0,29.82,2,Fog
79.0,83.0,29.82,2,Fog
82.0,70.0,29.85,3,Fog
